City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Nago,JP,66.45,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
3,Kiryat Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
4,Hermanus,ZA,62.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
6,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
7,Kapaa,US,73.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
12,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
13,Albany,US,65.57,few clouds,42.6001,-73.9662,
15,San Ramon,US,63.28,clear sky,37.7799,-121.978,San Ramon Marriott
16,Basco,PH,78.67,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
18,Cristalina,BR,79.45,clear sky,-16.7686,-47.6136,HOTEL TOPAZIO
20,Karpathos,GR,64.36,few clouds,35.507,27.2132,Alex
23,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,San Patricio,US,87.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
27,Lundazi,ZM,63.68,broken clouds,-12.2929,33.1782,Knox Lodge
29,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
30,São Filipe,CV,75.7,clear sky,14.8961,-24.4956,Hotel Xaguate
31,Celestún,MX,87.12,few clouds,20.8667,-90.4,Posada Lilia
32,Lamu,KE,82.62,light rain,-2.2717,40.902,Lamu House
34,Guanaja,HN,82.02,overcast clouds,16.4,-85.9,Parrot Beach
35,Bonthe,SL,85.39,broken clouds,7.5264,-12.505,Bonthe Holiday Village
39,Nabire,ID,75.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
40,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
41,Bengkulu,ID,76.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
42,New Norfolk,AU,60.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
43,Mabaruma,GY,87.08,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
44,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
45,Terrasini,IT,65.71,clear sky,38.146,13.0844,Florio Park Hotel
46,Rikitea,PF,76.41,scattered clouds,-23.1203,-134.9692,People ThankYou
49,Morondava,MG,77.16,clear sky,-20.2833,44.2833,La Case Bambou
51,Ugoofaaru,MV,85.6,broken clouds,5.6667,73.0,Ungoofaaru Inn
52,Tūkrah,LY,82.04,overcast clouds,32.5341,20.5791,Lagrota restaurant
56,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Lompoc,US,63.61,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
58,Sabang,ID,84.06,overcast clouds,5.8933,95.3214,Hotel Citra
59,Hong Kong,HK,65.25,moderate rain,22.2855,114.1577,Mini Hotel Central
62,Kérouané,GN,85.96,overcast clouds,9.2667,-9.0167,Hotel Seka Seka
70,Marsh Harbour,BS,75.52,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
73,Half Moon Bay,US,62.89,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
75,Kumul,CN,65.57,clear sky,42.8,93.45,Laoyutang Resort
78,Honiara,SB,77.59,light rain,-9.4333,159.95,Heritage Park Hotel
84,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
86,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
88,Pangkalanbuun,ID,76.77,light rain,-2.6833,111.6167,Grand Kecubung Hotel
89,Aksu,CN,66.0,few clouds,41.1231,80.2644,Pudong Holiday Hotel
91,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
93,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
94,Bandar-E Anzali,IR,62.71,overcast clouds,37.4727,49.4622,هتل بیاچ
95,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
96,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
98,Locri,IT,65.32,overcast clouds,38.2414,16.2623,Grand Hotel President
100,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
103,Rio Grande,BR,71.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
105,Mahébourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
107,Aquiraz,BR,87.89,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
108,Hilo,US,73.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
109,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
110,Freeport,US,70.47,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
112,Hithadhoo,MV,85.84,moderate rain,-0.6,73.0833,Scoop Guest House
114,Hobyo,SO,85.87,light rain,5.3505,48.5268,Iftin hotel hobyo
115,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
116,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
117,Hobart,AU,61.27,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
120,Jacmel,HT,82.24,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
121,Baghlan,AF,84.22,overcast clouds,36.1307,68.7083,Habibullah MOsazai
131,Bethel,US,69.37,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
136,Poum,NC,77.04,clear sky,-20.2333,164.0167,
138,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
141,Rocha,UY,62.56,clear sky,-34.4833,-54.3333,Hotel Arrarte
142,Kampong Chhnang,KH,77.83,light rain,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
143,Xalapa,MX,78.78,overcast clouds,19.5333,-96.9167,Hotel Mision Xalapa Plaza de las Convenciones
146,Tiarei,PF,75.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
147,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
148,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
149,Loei,TH,64.89,overcast clouds,17.4167,101.5,Ban Aloi Resort
150,Gerāsh,IR,84.34,clear sky,27.6652,54.1371,Sa'adat House Gerash
151,Gorontalo,ID,75.97,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
152,Turnov,CZ,64.42,overcast clouds,50.5836,15.1519,Hotel Karel IV.
154,Kalmunai,LK,82.72,overcast clouds,7.4167,81.8167,VS Villa
155,Sefophe,BW,66.74,broken clouds,-22.1833,27.9667,
156,Baft,IR,61.88,scattered clouds,29.234,56.6057,Paeez Hotel & restaurant
157,Cidreira,BR,64.2,overcast clouds,-30.1811,-50.2056,Hotel Castelo
159,Inírida,CO,84.11,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
160,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
161,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
162,Sorong,ID,79.9,broken clouds,-0.8833,131.25,Waigo Splash Hotel
163,Luang Prabang,LA,72.48,broken clouds,19.8856,102.1347,The Apsara
165,Daru,PG,79.09,overcast clouds,-9.0763,143.2092,Daru Lodge
