City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wagar,SD,16.1525,36.2032,100.2,16,9,22.46,clear sky
1,Norman Wells,CA,65.282,-126.8329,42.84,52,40,14.97,scattered clouds
2,Nago,JP,26.5881,127.9761,66.45,80,100,9.93,light rain
3,Kiryat Gat,IL,31.61,34.7642,68.4,100,2,4.03,clear sky
4,Hermanus,ZA,-34.4187,19.2345,62.8,84,0,10.74,clear sky
5,Bluff,NZ,-46.6,168.3333,44.8,91,20,8.75,few clouds
6,East London,ZA,-33.0153,27.9116,63.54,72,0,9.22,clear sky
7,Kapaa,US,22.0752,-159.319,73.11,86,40,21.85,scattered clouds
8,Port Blair,IN,11.6667,92.75,80.64,94,20,2.3,mist
9,Kamenka,RU,51.3223,42.7678,42.89,50,51,5.68,broken clouds
10,Lebu,CL,-37.6167,-73.65,55.36,74,100,15.39,overcast clouds
11,Busselton,AU,-33.65,115.3333,57.2,84,9,2.64,clear sky
12,Manaus,BR,-3.1019,-60.025,86.5,78,40,4.61,scattered clouds
13,Albany,US,42.6001,-73.9662,65.57,31,13,1.01,few clouds
14,Verkhoyansk,RU,67.5447,133.385,23.14,85,99,5.59,overcast clouds
15,San Ramon,US,37.7799,-121.978,63.28,66,0,4.61,clear sky
16,Basco,PH,20.4487,121.9702,78.67,81,96,22.75,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,29.35,64,96,11.01,overcast clouds
18,Cristalina,BR,-16.7686,-47.6136,79.45,29,0,5.91,clear sky
19,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,3,3.98,clear sky
20,Karpathos,GR,35.507,27.2132,64.36,77,20,24.16,few clouds
21,Port Alfred,ZA,-33.5906,26.891,59.18,87,5,11.21,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,58.39,90,0,5.26,clear sky
23,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,69,7.61,broken clouds
24,San Patricio,US,28.017,-97.5169,87.89,59,68,16.4,broken clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,71,75,10.36,broken clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,20,13.8,few clouds
27,Lundazi,ZM,-12.2929,33.1782,63.68,81,72,7.72,broken clouds
28,Saint Paul Harbor,US,57.79,-152.4072,38.71,87,100,20.71,light rain
29,Butaritari,KI,3.0707,172.7902,80.87,79,95,11.5,light rain
